noun,adjective,verb,preposition,phrase,latin_translation,genitive,accusative,gender,declination,english_translation,english_definition,german_translation,slovak_translation,german_definition,slovak_definition,spanish_translation,spanish_definition,norvegian_translation,norwegian_definition,icelandic_translation,icelandic_definition
1,0,0,0,0,Desinfectio,Desinfectionis,Desinfectionem,f.,3rd,Disinfection,Pathogen elimination,Desinfektion,Dezinfekcia,Krankheitserreger Eliminierung,Eliminácia patogénu,Desinfección,Eliminación de patógenos,Desinfeksjon,Patogen eliminering,Sótthreinsun,Brotthvarf sýkla
1,0,0,0,0,Destilllatus,Destilllati,Destilllatum,m.,2nd,Distilled,Purified by heating,Destilliert,Destilovaný,Durch Heizung gereinigt,Očistené zahrievaním,Destilado,Purificado por calentamiento,Destillert,Renset ved oppvarming,Eimað,Hreinsað með upphitun
1,0,0,0,0,Dexter,Dextri,Dextrum,m.,2nd,Right,On the right side,Rechts,Pravý,Auf der rechten Seite,Na pravej strane,Bien,En el lado derecho,Høyre,På høyre side,Ekki satt,Hægra megin
1,0,0,0,0,Diabetes,Diabetesei,Diabetesem,f.,5th,Diabetes,Metabolic disease,Diabetes,Cukrovka,Stoffwechselerkrankung,Metabolické ochorenie,Diabetes,Enfermedad metabólica,Diabetes,Metabolsk sykdom,Sykursýki,Efnaskipta sjúkdómur
0,1,0,0,0,Diagnosis,Diagnosis,Diagnosim,,,Diagnosis,Identification of disease,Diagnose,Diagnostika,Identifizierung von Krankheiten,Identifikácia choroby,Diagnóstico,Identificación de la enfermedad,Diagnose,Identifisering av sykdom,Greining,Auðkenning sjúkdóms
1,0,0,0,0,Diaphragma,Diaphragmae,Diaphragmam,f.,1st,Diaphragm,Muscle separating cavities,Membran,Bránica,Muskel -Trennung Hohlräume,Svalové dutiny,Diafragma,Cavidades de separación muscular,Membran,Muskel som skiller hulrom,Þind,Vöðvi aðskilin holrúm
1,0,0,0,0,Dorsum,Dorsi,Dorsum,n.,2nd,Back,Upper side of body part,Zurück,Chrbát,Oberseite des Körperteils,Horná strana tela,Atrás,Lado superior de la parte del cuerpo,Tilbake,Oversiden av kroppsdelen,Aftur,Efri hlið líkamshluta
0,1,0,0,0,Dosis,Dosis,Dosim,,,Dose,Quantity of medicine,Dosis,Dávka,Menge der Medizin,Množstvo liekov,Dosis,Cantidad de medicina,Dose,Mengde medisin,Skammtur,Magn lyfja
1,0,0,0,0,Ductulus,Ductuli,Ductulum,m.,2nd,Ductule,Small duct,Ductule,Kanál,Kleiner Kanal,Malá potrubia,Cónyuge,Pequeño conducto,Duktule,Liten kanal,Ductule,Lítill leiðsla
1,0,0,0,0,Ductus,Ducti,Ductum,m.,2nd,Duct,Tube for fluid transport,Leitung,Potrubie,Rohr für den Flüssigkeit Transport,Trubica na transport tekutín,Conducto,Tubo para transporte de fluidos,Kanal,Rør for væsketransport,Leið,Rör fyrir vökvaflutninga
0,0,0,0,1,Ductus choledochus,Ductus choledochi,Ductum choledochum,,2nd,Common bile duct,,Gemeinsamer Gallengang,Bežné žlčové kanáliky,,,Conducto biliar común,,Vanlig gallegang,,Algeng gallrás,
0,0,0,0,1,Ductus lymphaticus,Ductus lymphatici,Ductum lymphaticum,,2nd,Lymphatic duct,,Lymphkanal,Lymfatický kanál,,,Conducto linfático,,Lymfekanal,,Sogæðar,
1,0,0,0,0,Duodecimus,Duodecimi,Duodecimum,m.,2nd,Twelfth,Ordinal number,Zwölfte,Dvanástina,Ordinalzahl,Číslo,Duodécimo,Número ordinal,Tolvte,Ordinalnummer,Tólfta,Venjulegt númer
0,1,0,0,0,Duodenalis,Duodenalis,Duodenalem,,,Duodenal,Relating to duodenum,Duodenal,Dvanástnitý,In Bezug auf Duodenum,Týkajúce sa duodenu,Duodenal,Relacionado con duodeno,Duodenal,Relatert til tolvfingertarmen,Skeifugörn,Sem tengjast skeifugörn
1,0,0,0,0,Duodenum,Duodeni,Duodenum,n.,2nd,Duodenum,First small intestine segment,Zwölffingerdarm,Dvanásť,Erster Dünndarmsegment,Prvý segment tenkého čreva,Duodeno,Primer segmento de intestino delgado,Tolvfingertarmen,Første tynntarmssegment,Skeifugörn,Fyrsti smáþörmur hluti
1,0,0,0,0,Duplex,Duplex,Duplicem,m..,3rd,Double,Having two parts,Doppelt,Zdvojnásobiť,Zwei Teile haben,Mať dve časti,Doble,Tener dos partes,Dobbelt,Har to deler,Tvöfalt,Að hafa tvo hluta
1,0,0,0,0,Durus,Duri,Durum,m.,2nd,Hard,Not soft,Hart,Ťažko,Nicht weich,Nie mäkký,Duro,No suave,Hard,Ikke myk,Harður,Ekki mjúkt
1,0,0,0,0,Dysenteria,Dysenteriae,Dysenteriam,f.,1st,Dysentery,Severe diarrhea,Ruhr,Úplavica,Schwerer Durchfall,Ťažká hnačka,Disentería,Diarrea severa,Dysenteri,Alvorlig diaré,Dysentery,Alvarleg niðurgangur
1,0,0,0,0,Dysfunction,Dysfunctionis,Dysfunctionem,f.,3rd,Dysfunction,Impaired function,Funktionsstörung,Dysfunkcia,Beeinträchtige Funktion,Zhoršená funkcia,Disfunción,Función deteriorada,Dysfunksjon,Nedsatt funksjon,Truflun,Skert virkni
1,0,0,0,0,Dyspepsia,Dyspepsiae,Dyspepsiam,f.,1st,Dyspepsia,Indigestion,Dyspepsie,Dyspepsia,Verdauungsstörungen,Trávenie,Dispepsia,Indigestión,Dyspepsi,Fordøyelsesbesvær,Dypepsia,Meltingartruflanir
1,0,0,0,0,Dyspnoe,Dyspnoeis,Dyspnoem,n.,3rd,Dyspnea,Difficulty breathing,Dyspnoe,Dýchavičnosť,Schwierigkeiten beim Atmen,Ťažkosti s dýchaním,Disnea,Dificultad para respirar,Dyspné,Vanskeligheter med å puste,Mæði,Erfiðleikar öndun
1,0,0,0,0,Dystopia,Dystopiae,Dystopiam,f.,1st,Dystopia,Abnormal organ location,Dystopie,Dystopia,Abnormaler Orgelort,Abnormálne umiestnenie orgánov,Distopía,Ubicación anormal del órgano,Dystopi,Unormal orgelplassering,Dystópía,Óeðlileg staðsetning líffæra
1,0,0,0,0,Dystrophia,Dystrophiae,Dystrophiam,f.,1st,Dystrophy,Nutritional disorder,Dystrophie,Dystrofia,Ernährungsstörung,Porucha výživy,Distrofia,Trastorno nutricional,Dystrofi,Ernæringsforstyrrelse,Dystrophy,Næringarröskun
1,0,0,0,0,Dysuria,Dysuriae,Dysuriam,f.,1st,Dysuria,Painful urination,Dysurie,Dysúria,Schmerzhaftes Wasserlassen,Bolestivé močenie,Disuria,Orina dolorosa,Dysuria,Smertefull vannlating,Dysuria,Sársaukafull þvaglát
1,0,0,0,0,Ectoderma,Ectodermae,Ectodermam,f.,1st,Ectoderm,Outer embryonic layer,Ektoderm,Ektoderm,Äußere embryonale Schicht,Vonkajšia vrstva,Ectodermo,Capa embrionaria externa,Ectoderm,Ytre embryonalt lag,Ectoderm,Ytri fósturvísislag
1,0,0,0,0,Eczema,Eczemae,Eczemam,f.,1st,Eczema,Skin inflammation,Ekzem,Ekzém,Hautentzündung,Zápal kože,Eczema,Inflamación de la piel,Eksem,Hudbetennelse,Exem,Húðbólga
0,1,0,0,0,Efferens,Efferentis,Efferentem,,,Efferent,Carrying away,Efferent,Elegantný,Wegtragen,Odchod,Eferente,Llevando,Efferent,Bærer bort,Efferent,Flytja í burtu
0,1,0,0,0,Effervescens,Effervescentis,Effervescentem,,,Effervescent,Producing bubbles,Sprudel,Šumivý,Blasen produzieren,Výroba bublín,Efervescente,Producir burbujas,Effervescent,Produserende bobler,Árangursrík,Framleiða loftbólur
1,0,0,0,0,Electrocardiogramma,Electrocardiogrammae,Electrocardiogrammam,f.,1st,Electrocardiogram,Heart electrical activity record,Elektrokardiogramm,Elektrokardiogram,Rekord der Elektroaktivität des Herzens,Záznam s elektrickou aktivitou srdca,Electrocardiograma,Registro de actividad eléctrica del corazón,Elektrokardiogram,Hjerteelektrisk aktivitetsprotokoll,Hjartaraðili,Hjarta rafvirkni
1,0,0,0,0,Electrocardiographia,Electrocardiographiae,Electrocardiographiam,f.,1st,Electrocardiography,ECG technique,Elektrokardiographie,Elektrokardiografia,EKG -Technik,Technika EKG,Electrocardiografía,Técnica de ECG,Elektrokardiografi,EKG -teknikk,Hjartatruflanir,EKG tækni
0,1,0,0,0,Emesis,Emesis,Emesim,,,Vomiting,Expelling stomach contents,Erbrechen,Zvracanie,Mageninhalte ausüben,Vylúčenie obsahu žalúdka,Vómitos,Expulsar el contenido del estómago,Oppkast,Utvise mageinnhold,Uppköst,Útrýmandi innihald maga
0,1,0,0,0,Encephalitis,Encephalitidis,Encephalitidem,,,Encephalitis,Brain inflammation,Enzephalitis,Encefalitída,Gehirnentzündung,Zápal mozgu,Encefalitis,Inflamación cerebral,Encefalitt,Hjernebetennelse,Heilabólga,Heilabólga
1,0,0,0,0,Encephalon,Encephali,Encephalon,n.,2nd,Brain,Central nervous organ,Gehirn,Mozog,Zentralnervöber,Centrálny nervový orgán,Cerebro,Órgano nervioso central,Hjerne,Sentralnervisk organ,Heili,Miðtaugalíffæri
0,1,0,0,0,Endocardialis,Endocardialis,Endocardialem,,,Endocardial,Inner heart layer,Endokardial,Endokardiál,Innere Herzschicht,Vnútorná vrstva,Endocárdico,Capa del corazón interior,Endokardial,Indre hjertelag,Endocardial,Innra hjartalag
1,0,0,0,0,Endocrinus,Endocrini,Endocrinum,m.,2nd,Endocrine,Hormone-secreting,Endokrin,Endokrinný,Hormonsekreting,Vylučovanie hormónov,Endocrino,Secreto por hormonas,Endokrin,Hormonsekretær,Endocrine,Hormónseyting
1,0,0,0,0,Endogenes,Endogenesei,Endogenesem,f.,5th,Endogenous,Originating internally,Endogen,Endogénny,Intern entstehen,Vznikajúci interne,Endógeno,Originario internamente,Endogent,Opprinnelig internt,Innrænt,Uppruna innbyrðis
1,0,0,0,0,Endometrium,Endometrii,Endometrium,n.,2nd,Endometrium,Uterine lining,Endometrium,Endometria,Uterusfutter,Podšívka maternice,Endometrio,Revestimiento uterino,Endometrium,Livmorfôr,Legslímu,Legfóðrun
1,0,0,0,0,Epicondylus,Epicondyli,Epicondylum,m.,2nd,Epicondyle,Bony prominence,Epicondyle,Epicondyle,Knochenmut,Kosti,Epicondilo,Prominencia ósea,Epikondyle,Benete prominens,Epicondyle,Bony áberandi
1,0,0,0,0,Epidemicus,Epidemici,Epidemicum,m.,2nd,Epidemic,Rapid disease spread,Epidemie,Epidémia,Schnelle Krankheiten verbreiten sich,Rýchle šírenie chorôb,Epidemia,Propagación de enfermedad rápida,Epidemi,Rask sykdom spredt,Faraldur,Hröð sjúkdómur dreifist
0,1,0,0,0,Epididymis,Epididymidis,Epididymidem,,,Epididymis,Sperm storage organ,Epididymis,Epididymis,Spermienspeicherorgan,Ukladanie spermií,Epidídimo,Órgano de almacenamiento de esperma,Epididymis,Sperm lagringsorgan,Epididymis,Sæðisgeymslu líffæri
0,1,0,0,0,Epiduralis,Epiduralis,Epiduralem,,,Epidural,Above the dura mater,Epidural,Epidurálny,Über der Dura Mater,Nad dura mater,Epidural,Sobre la duramadre,Epidural,Over dura mater,Epidural,Fyrir ofan Dura Mater
0,1,0,0,0,Epithelialis,Epithelialis,Epithelialem,,,Epithelial,Relating to epithelium,Epithel,Epitelový,In Bezug auf Epithel,Týkajúce sa epitelu,Epitelial,Relacionado con el epitelio,Epitel,Relatert til epitel,Þekjuvef,Sem tengjast þekjuvef
1,0,0,0,0,Epithelium,Epithelii,Epithelium,n.,2nd,Epithelium,Tissue lining,Epithel,Epitel,Gewebefutter,Tkanivová podšívka,Epitelio,Revestimiento de tejido,Epitel,Vevsfôr,Þekjuvef,Vefja fóður
1,0,0,0,0,Et,,,,,And,Connecting word,Und,A,Wortverbindung,Spojovacie slovo,Y,Palabra de conexión,Og,Koble ord,Og,Tengja orð
1,0,0,0,0,Erythrocytes,Erythrocytesei,Erythrocytesem,f.,5th,Erythrocytes,Red blood cells,Erythrozyten,Erytrocyty,Rote Blutkörperchen,Červené krvinky,Eritrocitos,Glóbulos rojos,Erytrocytter,Røde blodlegemer,Rauðkorna,Rauð blóðkorn
1,0,0,0,0,Eupnoe,Eupnoeis,Eupnoem,n.,3rd,Eupnea,Normal breathing,Eupnea,Eupnoa,Normales Atmen,Normálne dýchanie,Eupnea,Respiración normal,Eupnea,Normal pust,Eupnea,Venjuleg öndun
1,0,0,0,0,Euthanasia,Euthanasiae,Euthanasiam,f.,1st,Euthanasia,Mercy killing,Euthanasie,Eutanázia,Barmherzigkeit Tötung,Zabíjanie milosrdenstva,Eutanasia,Mercy matando,Eutanasia,Mercy drap,Líknardráp,Miskunn
1,0,0,0,0,Excision,Excisionis,Excisionem,f.,3rd,Excision,Surgical removal,Exzision,Excízia,Operative Entfernung,Chirurgické odstránenie,Excisión,Extirpación quirúrgica,Eksisjon,Kirurgisk fjerning,Skurður,Skurðaðgerð
1,0,0,0,0,Exclusion,Exclusionis,Exclusionem,f.,3rd,Exclusion,Elimination,Ausschluss,Vylúčenie,Beseitigung,Vylúčenie,Exclusión,Eliminación,Utelukkelse,Eliminering,Útilokun,Brotthvarf
1,0,0,0,0,Exitus,Exiti,Exitum,m.,2nd,Outcome,End result,Ergebnis,Výsledok,Endergebnis,Konečný výsledok,Resultado,Resultado final,Utfall,Sluttresultat,Niðurstaða,Lokaniðurstaða
0,0,0,0,1,Exitus letalis,Exiti letalis,Exitum letalem,,2nd,Lethal outcome,,Tödliches Ergebnis,Smrtiaci výsledok,,,Resultado letal,,Dødelig utfall,,Banvænn útkoma,
0,1,0,0,0,Exocrinus,Exocrini,Exocrinum,,,Exocrine,Relating to glands with ducts,Exokrine,Exokrinný,In Bezug auf Drüsen mit Kanälen,Týkajúce sa žliaz s kanálmi,Exócrino,Relacionado con glándulas con conductos,Eksokrin,Relatert til kjertler med kanaler,Exocrine,Sem tengjast kirtlum með leiðslum
1,0,0,0,0,Exogenes,Exogenesei,Exogenesem,f.,5th,Exogenous,Originating externally,Exogen,Exogénny,Ursprung extern,Pochádza z vonkajšej strany,Exógeno,Originando externamente,Eksogent,Opprinnelig eksternt,Utanaðkomandi,Uppruna utan
0,0,1,0,0,Expectorans,Expectorantis,Expectorantem,,3rd,Expectorant,Drug for mucus clearance,Expektorant,Expektorant,Medikament gegen Schleimfreiheit,Liek na klírens hlienu,Expectorante,Droga para la eliminación de moco,Ventet,Medikament for slimklaring,Sviðseigandi,Lyf til slímhúðar
1,0,0,0,0,Expedition,Expeditionis,Expeditionem,f.,3rd,Package,Prepared medicine package,Paket,Balík,Vorbereitete Medizinpaket,Pripravený lekársky balíček,Paquete,Paquete de medicina preparada,Pakke,Forberedt medisinpakke,Pakki,Undirbúinn lyfjapakki
0,0,0,0,1,Expedition originalis,Expeditionis originalis,Expeditionem originalem,,3rd,Original package,,Originalpaket,Originálny balík,,,Paquete original,,Originalpakke,,Upprunalegur pakki,
1,0,0,0,0,Extensio,Extensionis,Extensionem,f.,3rd,Extension,Stretching of limb,Verlängerung,Rozšírenie,Dehnung der Gliedmaßen,Roztiahnutie končatiny,Extensión,Estiramiento de la extremidad,Forlengelse,Strekking av lem,Framlenging,Teygja á útlimum
1,0,0,0,0,Extensor,Extensoris,Extensorem,m.,3rd,Extensor,Muscle that extends a limb,Extensor,Extenzor,"Muskel, der ein Glied aussteht","Sval, ktorý rozširuje končatinu",Músculo extensor,Músculo que extiende una extremidad,Extensor,Muskler som strekker seg en lem,Extensor,Vöðvi sem nær útlimum
0,1,0,0,0,Exterior,Exterioris,Exteriorem,,,Exterior,Outer,Äußerlich,Exteriér,Äußere,Vonkajší,Exterior,Exterior,Ytre,Ytre,Ytri,Ytri
1,0,0,0,0,Externus,Externi,Externum,m.,2nd,External,Outside,Extern,Vonkajší,Draußen,Vonkajší,Externo,Afuera,Utvendig,Utenfor,Ytri,Utan
0,1,0,0,0,Extracellularis,Extracellularis,Extracellularem,,,Extracellular,Outside the cell,Extrazellulär,Extracelulárny,Außerhalb der Zelle,Mimo bunky,Extracelular,Fuera de la celda,Ekstracellulær,Utenfor cellen,Utanfrumu,Fyrir utan klefann
1,0,0,0,0,Extraction,Extractionis,Extractionem,f.,3rd,Extraction,Surgical removal,Extraktion,Ťažba,Operative Entfernung,Chirurgické odstránenie,Extracción,Extirpación quirúrgica,Ekstraksjon,Kirurgisk fjerning,Útdráttur,Skurðaðgerð
1,0,0,0,0,Extrauterinus,Extrauterini,Extrauterinum,m.,2nd,Extrauterine,Outside the uterus,Extraterine,Extrauterin,Außerhalb der Gebärmutter,Mimo maternice,Extrauterino,Fuera del útero,Extrauterine,Utenfor livmoren,Extrauterine,Utan legsins
0,1,0,0,0,Facialis,Facialis,Facialem,,,Facial,Relating to the face,Gesichts,Tvár,In Bezug auf das Gesicht,Súvisiace s tvárou,Facial,Relacionado con la cara,Ansikts,Relatert til ansiktet,Andliti,Sem tengjast andlitinu
1,0,0,0,0,Facies,Faciesei,Faciesem,f.,5th,Face,Surface of body part,Gesicht,Tvár,Oberfläche des Körperteils,Časť tela,Rostro,Superficie de la parte del cuerpo,Ansikt,Overflaten av kroppsdelen,Andlit,Yfirborð líkamshluta
0,1,0,0,0,Falciformis,Falciformis,Falciformem,,,Falciform,Sickle-shaped,Falciform,Falciform,Sichelförmig,Kosáčikovitý,Falciforme,Hoz,Falciform,Sigdformet,Falciform,Sigðlaga
1,0,0,0,0,Fascia,Fasciae,Fasciam,f.,1st,Fascia,Fibrous connective tissue,Faszie,Fascia,Faseriges Bindegewebe,Vláknité tkanivo,Fascia,Tejido conectivo fibroso,Fascia,Fibrøst bindevev,Heill,Trefja bandvef
1,0,0,0,0,Fasciculus,Fasciculi,Fasciculum,m.,2nd,Fascicle,Bundle of fibers,Faszikel,Fascinovať,Bündel von Fasern,Zväzok vlákien,Fascículo,Paquete de fibras,Fascicle,Bunt av fibre,Heill,Knippi af trefjum
1,0,0,0,0,Fauces,Faucesei,Faucesem,f.,5th,Throat,Passage to pharynx,Kehle,Krk,Durchgang zum Pharynx,Priechod do hltanu,Garganta,Pasaje a la faringe,Hals,Passasje til Pharynx,Háls,Yfirferð til koks
0,1,0,0,0,Febris,Febris,Febrim,,,Fever,Elevated body temperature,Fieber,Horúčka,Erhöhte Körpertemperatur,Zvýšená telesná teplota,Fiebre,Temperatura corporal elevada,Feber,Forhøyet kroppstemperatur,Hiti,Hækkaður líkamshiti
0,1,0,0,0,Femininus,Feminini,Femininum,,,Feminine,Relating to female,Feminin,Ženský,In Bezug auf weiblich,Týkajúce sa ženy,Femenino,Relacionado con la mujer,Feminin,Relatert til kvinne,Kvenleg,Sem tengjast kvenkyni
1,0,0,0,0,Femur,Femoris,Femur,n.,3rd,Femur,Thigh bone,Femur,Femur,Oberschenkelknochen,Stehenná kosť,Fémur,Hueso del muslo,Femur,Lårbein,Lærleggur,Læribein
1,0,0,0,0,Fetus,Feti,Fetum,m.,2nd,Fetus,Unborn baby,Fötus,Plod,Ungeborenes Baby,Nenarodené dieťa,Feto,Bebé no nacido,Foster,Ufødt baby,Fetus,Ófætt barn
1,0,0,0,0,Fibula,Fibulae,Fibulam,f.,1st,Fibula,Calf bone,Fibula,Fibula,Kalbknochen,Kosť,Fíbula,Ternero,Fibula,Kalvbein,Fibula,Kálfbein
0,1,0,0,0,Fibularis,Fibularis,Fibularem,,,Fibular,Relating to fibula,Fibular,Vláknitý,In Bezug auf Fibula,Týkajúce sa fibuly,Peroneo,Relacionado con peroné,Fibular,Relatert til fibula,Trefja,Sem tengjast fibula
1,0,0,0,0,Fissura,Fissurae,Fissuram,f.,1st,Fissure,Deep groove,Spalt,Trhlina,Tiefe Groove,Hlboká drážka,Fisura,Ritmo profundo,Sprekker,Dyp rille,Sprunga,Djúpt gróp
1,0,0,0,0,Flavus,Flavi,Flavum,m.,2nd,Yellow,Color descriptor,Gelb,Žltý,Farbdeskriptor,Deskriptor farieb,Amarillo,Descriptor de color,Gul,Fargebeskrivelse,Gult,Litalýsandi
1,0,0,0,0,Flexion,Flexionis,Flexionem,f.,3rd,Flexion,Bending movement,Beugung,Ohyb,Biegebewegung,Ohýbanie,Flexión,Movimiento de flexión,Fleksjon,Bøyebevegelse,Sveigja,Beygja hreyfingu
1,0,0,0,0,Flexor,Flexoris,Flexorem,m.,3rd,Flexor,Bending muscle,Flexor,Ohýbať sa,Biegung des Muskels,Ohýbanie svalov,Flexor,Doblando músculo,Flexor,Bøyemuskel,Flexor,Beygja vöðva
1,0,0,0,0,Flexura,Flexurae,Flexuram,f.,1st,Flexure,Bend in a structure,Biegung,Ohyb,In einer Struktur beugen,Ohýbajte sa v štruktúre,Flexura,Doblar en una estructura,Bøyning,Bøy i en struktur,Sveigja,Beygðu í mannvirki
1,0,0,0,0,Flexus,Flexi,Flexum,m.,2nd,Bent,Curved,Gebogen,Ohýbať sa,Gebogen,Zakrivený,Doblado,Curvo,Bøyd,Buet,Bent,Boginn
1,0,0,0,0,Fluidus,Fluidi,Fluidum,m.,2nd,Fluid,Liquid substance,Flüssigkeit,Tekutý,Flüssige Substanz,Kvapalná látka,Líquido,Sustancia líquida,Væske,Flytende stoff,Fluid,Fljótandi efni
1,0,0,0,0,Fluorisatio,Fluorisationis,Fluorisationem,f.,3rd,Fluoridation,Adding fluoride,Fluoridierung,Fluoridácia,Fluorid hinzufügen,Pridanie fluoridu,Fluoración,Agregar fluoruro,Fluorering,Legge til fluor,Flúrun,Bæta við flúoríð
1,0,0,0,0,Foramen,Foraminis,Foramen,n.,3rd,Foramen,Opening,Foramen,Predzvesť,Öffnung,Úvodný,Agujero,Apertura,Foramen,Åpning,Foramen,Opnun
1,0,0,0,0,Fossa,Fossae,Fossam,f.,1st,Fossa,Depression or hollow,Fossa,Fossa,Depression oder hohl,Depresia alebo dutina,Fosa,Depresión o hueco,Fossa,Depresjon eller hul,Fossa,Þunglyndi eða holt
1,0,0,0,0,Fovea,Foveae,Foveam,f.,1st,Fovea,Small pit,Fovea,Fovea,Kleine Grube,Malá jama,Fóvica,Pozo pequeño,Fovea,Liten grop,Fovea,Lítil gryfja
1,0,0,0,0,Fractura,Fracturae,Fracturam,f.,1st,Fracture,Break in bone,Bruch,Zlomenina,Knochen brechen,Zlomiť sa v kosti,Fractura,Romper con el hueso,Brudd,Bryte i bein,Brot,Brotna í beini
1,0,0,0,0,Fractus,Fracti,Fractum,m.,2nd,Broken,Having a fracture,Gebrochen,Zlomený,Eine Fraktur haben,Zlomenina,Roto,Tener una fractura,Brukket,Har et brudd,Brotinn,Með beinbrot
0,1,0,0,0,Fragilis,Fragilis,Fragilem,,,Fragile,Easily broken,Zerbrechlich,Krehký,Leicht gebrochen,Ľahko zlomený,Frágil,Fácilmente roto,Skjør,Lett ødelagt,Brothætt,Auðveldlega brotinn
0,1,0,0,0,Frontalis,Frontalis,Frontalem,,,Frontal,Relating to forehead,Frontal,Predný,In Bezug auf die Stirn,Súvisiaci na čele,Frontal,Relacionado con la frente,Frontal,Relatert til panne,Framan,Sem tengjast enninu
1,0,0,0,0,Functio,Functionis,Functionem,f.,3rd,Function,Normal action of organ,Funktion,Funkcia,Normalwirkung des Organs,Normálne pôsobenie orgánu,Función,Acción normal del órgano,Funksjon,Normal virkning av orgel,Virka,Venjuleg verkun á orgel
1,0,0,0,0,Fundus,Fundi,Fundum,m.,2nd,Fundus,Bottom part of organ,Fundus,Základ,Unterer Teil des Organs,Spodná časť orgánu,Fondo,Parte inferior del órgano,Fundus,Nederste del av orgel,Fundus,Neðri hluti orgelsins
1,0,0,0,0,Galactorrhoea,Galactorrhoeae,Galactorrhoeam,f.,1st,Galactorrhea,Excessive milk flow,Galactorrhoe,Galaktorea,Übermäßiger Milchfluss,Nadmerný prietok mlieka,Galactorrea,Flujo de leche excesivo,Galaktoré,Overdreven melkestrøm,Galactorrhea,Óhóflegt mjólkurflæði
1,0,0,0,0,Ganglion,Ganglii,Ganglion,n.,2nd,Ganglion,Nerve cell cluster,Ganglion,Ganglion,Nervenzellencluster,Kazet,Ganglio,Grupo de células nerviosas,Ganglion,Nervecelleklynge,Ganglion,Taugafrumuþyrping
1,0,0,0,0,Gangraena,Gangraenae,Gangraenam,f.,1st,Gangrene,Tissue death,Gangrän,Gangréna,Taschentaum,Smrť tkaniva,Gangrena,Muerte de tejido,Koldbrann,Vevsdød,Gangrene,Vefjadauði
1,0,0,0,0,Gangraenosus,Gangraenosi,Gangraenosum,m.,2nd,Gangrenous,Affected by gangrene,Gangränös,Geniálny,Von Gangrän betroffen,Postihnuté gangrénou,Gangrenoso,Afectado por la gangrena,Gangrenøs,Påvirket av koldbrann,Gangrenous,Áhrif á gangren
1,0,0,0,0,Gaster,Gastris,Gastrem,f.,3rd,Stomach,Digestive organ,Magen,Brucho,Verdauungsorgel,Tráviaci orgán,Estómago,Órgano digestivo,Mage,Fordøyelsesorganet,Maga,Meltingarfæri
1,0,0,0,0,Gastrectomia,Gastrectomiae,Gastrectomiam,f.,1st,Gastrectomy,Stomach removal surgery,Gastrektomie,Gastrektómia,Magenentfernungsoperation,Operácia odstránenia žalúdka,Gastrectomía,Cirugía de extracción del estómago,Gastrektomi,Mage fjerningskirurgi,Meltingarfærum,Skurðaðgerð á maga
0,1,0,0,0,Gastricus,Gastrici,Gastricum,,,Gastric,Relating to stomach,Magen,Žalúdočný,In Bezug auf den Magen,Týkajúce sa žalúdka,Gástrico,Relacionado con el estómago,Gastrisk,Relatert til mage,Maga,Sem tengjast maga
0,1,0,0,0,Gastritis,Gastritidis,Gastritidem,,,Gastritis,Stomach inflammation,Gastritis,Gastritída,Magenentzündung,Zápal žalúdka,Gastritis,Inflamación del estómago,Gastritt,Magebetennelse,Magabólga,Magabólga
1,0,0,0,0,Gastroduodenotomia,Gastroduodenotomiae,Gastroduodenotomiam,f.,1st,Gastroduodenotomy,Stomach & duodenal surgery,Gastrodenotomie,Gastroduodenotómia,Magen- und Zwölffingerdarmoperation,Žalúdočná a duodenálna chirurgia,Gastroduodenotomía,Cirugía de estómago y duodenal,Gastroduodenotomi,Mage og duodenal kirurgi,Gastroduodenotomy,Maga- og skeifugörn skurðaðgerð
1,0,0,0,0,Gastrodynia,Gastrodyniae,Gastrodyniam,f.,1st,Gastrodynia,Stomach pain,Gastrodynie,Gastrodrodia,Magenschmerzen,Bolesť žalúdka,Gastrodinia,Dolor de estómago,Gastrodynia,Magesmerter,Meltingarveg,Magaverkir
1,0,0,0,0,Gastrostomia,Gastrostomiae,Gastrostomiam,f.,1st,Gastrostomy,Surgical stomach opening,Gastrostomie,Gastrostómia,Chirurgische Magenöffnung,Chirurgické otvorenie žalúdka,Gastrostomía,Abertura de estómago quirúrgico,Gastrostomi,Kirurgisk mageåpning,Gastrostomy,Skurðaðgerð magans opnun
1,0,0,0,0,Gelum,Geli,Gelum,n.,2nd,Gel,Semi-solid substance,Gel,Gél,Halbfeste Substanz,Polotuhá látka,Gel,Sustancia semisólida,Gel,Halvfast stoff,Hlaup,Hálf-fast efni
0,1,0,0,0,Generalis,Generalis,Generalem,,,General,Not specific,Allgemein,Všeobecný,Nicht spezifisch,Nie konkrétny,General,No específico,General,Ikke spesifikk,Almennt,Ekki sértækt
1,0,0,0,0,Geniculum,Geniculi,Geniculum,n.,2nd,Knee-like structure,Small knee,Knieartige Struktur,Konštrukcia,Kleines Knie,Malé koleno,Estructura similar a la rodilla,Rodilla pequeña,Knelignende struktur,Lite kne,Hnélík uppbygging,Lítið hné
0,1,0,0,0,Genitalis,Genitalis,Genitalem,,,Genital,Relating to reproductive organs,Genital,Genitálny,In Bezug auf Fortpflanzungsorgane,Týkajúce sa reprodukčných orgánov,Genital,Relacionado con los órganos reproductivos,Genital,Relatert til reproduktive organer,Kynfæri,Sem tengjast æxlunarlíffærum
