muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,innervation,blood_supply,origo,insercio,movement_function
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur,Palatal muscles,Podnebné svaly,Gaumenmuskulatur,Musculus palatopharyngeus,Palatopharyngeus muscle,"Fasciculus anterior, Fasciculus posterior",Pharyngeal plexus (CN X),Ascending palatine artery,Palatine aponeurosis,Pharyngeal wall and thyroid cartilage,Elevates pharynx and closes nasopharynx
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,Vordere Thoraxmuskeln,Musculus pectoralis major,Pectoralis major muscle,"Pars clavicularis, Pars sternocostalis, Pars abdominalis",Medial and lateral pectoral nerves,Thoracoacromial artery; lateral thoracic artery,"Clavicle, sternum and costal cartilages",Greater tubercle of humerus,Adducts and medially rotates arm
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,Vordere Thoraxmuskeln,Musculus pectoralis minor,Pectoralis minor muscle,,Medial pectoral nerve,Thoracoacromial artery; lateral thoracic artery,Ribs (2)3-5(6),Coracoid process of scapula,Stabilizes scapula and assists inspiration
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,Vordere Thoraxmuskeln,Musculus subclavius,Subclavius muscle,,Nerve to subclavius (C5-C6),Thoracoacromial artery,First rib and costal cartilage,Inferior surface of clavicle,Stabilizes clavicle
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Thoracic wall muscles,Svaly hrudnej steny,Thoraxwandmuskulatur,Musculus serratus anterior,Serratus anterior muscle,,Long thoracic nerve (C5-C7),Lateral thoracic artery,Ribs 1-8,Medial border of scapula,Protracts and stabilizes scapula
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Posterior thoracic wall muscles,Zadné svaly hrudníka,Hintere Thoraxwandmuskeln,Musculi levatores costarum,Levatores costarum muscles,"Levatores breves, Levatores longi",Posterior rami of spinal nerves,Posterior intercostal arteries,Transverse processes of thoracic vertebrae,Ribs below origin,Elevate ribs during inspiration
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Intercostal muscles,Medzirebrové svaly,Interkostalmuskeln,Musculi intercostales externi,External intercostal muscles,,Intercostal nerves,Posterior and anterior intercostal arteries,Lower border of rib above,Upper border of rib below,Elevate ribs during inspiration
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Intercostal muscles,Medzirebrové svaly,Interkostalmuskeln,Musculi intercostales interni,Internal intercostal muscles,,Intercostal nerves,Posterior and anterior intercostal arteries,Lower border of rib above,Upper border of rib below,Depress ribs during forced expiration
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Intercostal muscles,Medzirebrové svaly,Interkostalmuskeln,Musculi intercostales intimi,Innermost intercostal muscles,,Intercostal nerves,Posterior and anterior intercostal arteries,Inner surface of ribs,Inner surface of ribs,Assist internal intercostals in expiration
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Thoracic wall muscles,Svaly hrudnej steny,Thoraxwandmuskulatur,Musculi subcostales,Subcostal muscles,,Intercostal nerves,Posterior intercostal arteries,Inner surface of lower ribs,Inner surface of ribs two or three levels below,Depress ribs
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Thoracic wall muscles,Svaly hrudnej steny,Thoraxwandmuskulatur,Musculus transversus thoracis,Transversus thoracis muscle,,Intercostal nerves,Internal thoracic artery,Posterior surface of sternum and xiphoid process,Costal cartilages of ribs 2-6,Depresses ribs
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Diaphragm,Bránica,Diaphragma,Diaphragma,Diaphragm,,Phrenic nerve (C3-C5),Inferior phrenic arteries; pericardiacophrenic arteries,Xiphoid process ribs 7-12 and lumbar vertebrae via crura,Central tendon,Primary muscle of inspiration
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,Oberflächliche Rückenmuskeln,Musculus trapezius,Trapezius muscle,,Accessory nerve (CN XI); cervical spinal nerves (C3-C4),Transverse cervical artery; dorsal scapular artery,External occipital protuberance nuchal ligament and spinous processes C7-T12,Lateral clavicle acromion and spine of scapula,Elevates retracts and rotates scapula
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,Oberflächliche Rückenmuskeln,Musculus latissimus dorsi,Latissimus dorsi muscle,,Thoracodorsal nerve,Thoracodorsal artery,Spinous processes T6-L5 thoracolumbar fascia iliac crest and lower ribs,Intertubercular sulcus of humerus,Extends adducts and medially rotates arm
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,Oberflächliche Rückenmuskeln,Musculus levator scapulae,Levator scapulae muscle,,Dorsal scapular nerve,Dorsal scapular artery,Transverse processes C1-C4,Superior angle of scapula,Elevates and rotates scapula
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,Oberflächliche Rückenmuskeln,Musculi rhomboidei,Rhomboid muscles,"Rhomboideus minor, Rhomboideus major",Dorsal scapular nerve,Dorsal scapular artery,Spinous processes C7-T5,Medial border of scapula,Retracts and stabilizes scapula
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intermediate back muscles,Stredná vrstva svalov chrbta,Zwischenschicht der Rückenmuskeln,Musculus serratus posterior superior,Serratus posterior superior muscle,,Intercostal nerves (T2-T5),Posterior intercostal arteries,Spinous processes C7-T3,Ribs 2-5,Elevates ribs
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intermediate back muscles,Stredná vrstva svalov chrbta,Zwischenschicht der Rückenmuskeln,Musculus serratus posterior inferior,Serratus posterior inferior muscle,,Intercostal nerves (T9-T12),Posterior intercostal arteries,Spinous processes T11-L2,Ribs 9-12,Depresses ribs
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus erector spinae,Erector spinae muscle,,Posterior rami of spinal nerves,Posterior intercostal and lumbar arteries,Sacrum iliac crest and lumbar vertebrae,Ribs vertebrae and skull,Extends and laterally flexes vertebral column
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus iliocostalis lumborum,Iliocostalis lumborum muscle,,Posterior rami of spinal nerves,Lumbar arteries,Iliac crest and sacrum,Lower ribs,Extends and laterally flexes lumbar spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus iliocostalis thoracis,Iliocostalis thoracis muscle,,Posterior rami of spinal nerves,Posterior intercostal arteries,Lower ribs,Upper ribs,Extends thoracic spine and elevates ribs
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus iliocostalis cervicis,Iliocostalis cervicis muscle,,Posterior rami of spinal nerves,Deep cervical artery,Ribs 3-6,Transverse processes of C4-C6,Lateral flexion and extension of cervical spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus longissimus thoracis,Longissimus thoracis muscle,,Posterior rami of spinal nerves,Posterior intercostal arteries,Transverse processes of lumbar vertebrae and sacrum,Thoracic transverse processes and ribs,Extends thoracic spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus longissimus cervicis,Longissimus cervicis muscle,,Posterior rami of spinal nerves,Deep cervical artery,Upper thoracic transverse processes,Transverse processes of C2-C6,Extends and laterally flexes neck
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus longissimus capitis,Longissimus capitis muscle,,Posterior rami of spinal nerves,Occipital artery,Upper thoracic and cervical transverse processes,Mastoid process,Extends and rotates head
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus spinalis thoracis,Spinalis thoracis muscle,,Posterior rami of spinal nerves,Posterior intercostal arteries,Spinous processes of T10-L2,Spinous processes of T2-T8,Extends thoracic spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus spinalis cervicis,Spinalis cervicis muscle,,Posterior rami of spinal nerves,Deep cervical artery,Spinous processes of C7-T2,Spinous processes of C2-C4,Extends cervical spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),Autochthone Rückenmuskeln,Musculus spinalis capitis,Spinalis capitis muscle,,Posterior rami of spinal nerves,Occipital artery,Spinous processes of upper thoracic vertebrae,Occipital bone,Extends head
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculi transversospinales,Transversospinal muscles,,Posterior rami of spinal nerves,Posterior intercostal and lumbar arteries,Transverse processes of vertebrae,Spinous processes of vertebrae,Stabilize vertebral column and assist rotation
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculus semispinalis thoracis,Semispinalis thoracis muscle,,Posterior rami of spinal nerves,Posterior intercostal arteries,Transverse processes of T6-T10,Spinous processes of C6-T4,Extends thoracic spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculus semispinalis cervicis,Semispinalis cervicis muscle,,Posterior rami of spinal nerves,Deep cervical artery,Transverse processes of T1-T6,Spinous processes of C2-C5,Extends and rotates cervical spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculus semispinalis capitis,Semispinalis capitis muscle,,Posterior rami of spinal nerves,Occipital and deep cervical arteries,Transverse processes of C4-T6,Occipital bone,Extends and rotates head
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculus multifidus,Multifidus muscle,,Posterior rami of spinal nerves,Posterior intercostal and lumbar arteries,Sacrum transverse processes and articular processes,Spinous processes of vertebrae 2-4 levels above,Stabilizes vertebral column
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculi rotatores thoracis,Thoracic rotatores muscles,,Posterior rami of spinal nerves,Posterior intercostal arteries,Transverse processes of thoracic vertebrae,Spinous processes of adjacent vertebrae,Rotate thoracic vertebrae
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),Autochthone Rückenmuskeln,Musculi rotatores cervicis,Cervical rotatores muscles,,Posterior rami of spinal nerves,Deep cervical artery,Transverse processes of cervical vertebrae,Spinous processes of adjacent vertebrae,Rotate cervical vertebrae
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Segmental),Hlboké svaly chrbta (Segmentálne svaly),Autochthone Rückenmuskeln,Musculi interspinales cervicis,Cervical interspinales muscles,,Posterior rami of cervical spinal nerves,Deep cervical artery,Spinous process of cervical vertebra,Spinous process of adjacent cervical vertebra,Assist extension and stabilization of cervical spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Segmental),Hlboké svaly chrbta (Segmentálne svaly),Autochthone Rückenmuskeln,Musculi interspinales thoracis,Thoracic interspinales muscles,,Posterior rami of thoracic spinal nerves,Posterior intercostal arteries,Spinous process of thoracic vertebra,Spinous process of adjacent thoracic vertebra,Assist extension and stabilization of thoracic spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Segmental),Hlboké svaly chrbta (Segmentálne svaly),Autochthone Rückenmuskeln,Musculi interspinales lumborum,Lumbar interspinales muscles,,Posterior rami of lumbar spinal nerves,Lumbar arteries,Spinous process of lumbar vertebra,Spinous process of adjacent lumbar vertebra,Assist extension and stabilization of lumbar spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Segmental),Hlboké svaly chrbta (Segmentálne svaly),Autochthone Rückenmuskeln,Musculi intertransversarii cervicis,Cervical intertransversarii muscles,,Anterior and posterior rami of cervical spinal nerves,Deep cervical artery,Transverse process of cervical vertebra,Transverse process of adjacent cervical vertebra,Lateral flexion and stabilization of cervical spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Segmental),Hlboké svaly chrbta (Segmentálne svaly),Autochthone Rückenmuskeln,Musculi intertransversarii thoracis,Thoracic intertransversarii muscles,,Posterior rami of thoracic spinal nerves,Posterior intercostal arteries,Transverse process of thoracic vertebra,Transverse process of adjacent thoracic vertebra,Stabilization of thoracic spine
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Segmental),Hlboké svaly chrbta (Segmentálne svaly),Autochthone Rückenmuskeln,Musculi intertransversarii lumborum,Lumbar intertransversarii muscles,,Anterior rami of lumbar spinal nerves,Lumbar arteries,Transverse process of lumbar vertebra,Transverse process of adjacent lumbar vertebra,Lateral flexion and stabilization of lumbar spine
Muscles of the Abdominal Wall,Svaly brušnej steny,Bauchwandmuskulatur,Anterolateral abdominal muscles,Predné a bočné svaly brucha,Anterolaterale Bauchmuskeln,Musculus obliquus externus abdominis,External oblique muscle,,Thoracoabdominal nerves,Lower intercostal arteries,Ribs V-XII,Linea alba and iliac crest,Rotates and flexes trunk
Muscles of the Abdominal Wall,Svaly brušnej steny,Bauchwandmuskulatur,Anterolateral abdominal muscles,Predné a bočné svaly brucha,Anterolaterale Bauchmuskeln,Musculus obliquus internus abdominis,Internal oblique muscle,,Thoracoabdominal nerves,Lower intercostal arteries,Iliac crest and thoracolumbar fascia,Ribs X-XII and linea alba,Rotates and flexes trunk
Muscles of the Abdominal Wall,Svaly brušnej steny,Bauchwandmuskulatur,Anterolateral abdominal muscles,Predné a bočné svaly brucha,Anterolaterale Bauchmuskeln,Musculus transversus abdominis,Transversus abdominis muscle,,Thoracoabdominal nerves,Lower intercostal arteries,Costal cartilages VII-XII,Linea alba,Compresses abdominal contents
Muscles of the Abdominal Wall,Svaly brušnej steny,Bauchwandmuskulatur,Anterior abdominal muscles,Predné svaly brucha,Vordere Bauchmuskeln,Musculus rectus abdominis,Rectus abdominis muscle,,Thoracoabdominal nerves,Superior and inferior epigastric arteries,Pubic symphysis and crest,Xiphoid process and ribs V-VII,Flexes trunk
Muscles of the Abdominal Wall,Svaly brušnej steny,Bauchwandmuskulatur,Anterior abdominal muscles,Predné svaly brucha,Vordere Bauchmuskeln,Musculus pyramidalis,Pyramidalis muscle,,Subcostal nerve,Inferior epigastric artery,Pubic crest,Linea alba,Tenses linea alba
Muscles of the Pelvic Floor,Svaly panvového dna,Beckenbodenmuskulatur,Pelvic diaphragm,Panvová bránica,Beckendiaphragma,Musculus levator ani,Levator ani muscle,"Puborectalis, Pubococcygeus, Iliococcygeus",Pudendal nerve,Inferior gluteal artery,Pubis and ischial spine,Coccyx and anococcygeal ligament,Supports pelvic organs
Muscles of the Pelvic Floor,Svaly panvového dna,Beckenbodenmuskulatur,Pelvic diaphragm,Panvová bránica,Beckendiaphragma,Musculus coccygeus,Coccygeus muscle,,Pudendal nerve,Inferior gluteal artery,Ischial spine,Sacrum and coccyx,Supports pelvic viscera
Muscles of the Perineum,Svaly hrádze,Dammmuskulatur,Superficial perineal muscles,Povrchové svaly hrádze,Oberflächliche Dammmuskeln,Musculus bulbospongiosus,Bulbospongiosus muscle,,Pudendal nerve,Perineal artery,Perineal body,Corpus spongiosum,Compresses bulb
Muscles of the Perineum,Svaly hrádze,Dammmuskulatur,Superficial perineal muscles,Povrchové svaly hrádze,Oberflächliche Dammmuskeln,Musculus ischiocavernosus,Ischiocavernosus muscle,,Pudendal nerve,Perineal artery,Ischial tuberosity,Crus of penis/clitoris,Maintains erection
Muscles of the Perineum,Svaly hrádze,Dammmuskulatur,Superficial perineal muscles,Povrchové svaly hrádze,Oberflächliche Dammmuskeln,Musculus transversus perinei superficialis,Superficial transverse perineal muscle,,Pudendal nerve,Perineal artery,Ischial tuberosity,Perineal body,Stabilizes perineal body
Muscles of the Perineum,Svaly hrádze,Dammmuskulatur,Deep perineal muscles,Hlboké svaly hrádze,Tiefe Dammmuskeln,Musculus transversus perinei profundus,Deep transverse perineal muscle,,Pudendal nerve,Perineal artery,Ischial ramus,Perineal body,Supports pelvic floor
Muscles of the Perineum,Svaly hrádze,Dammmuskulatur,Deep perineal muscles,Hlboké svaly hrádze,Tiefe Dammmuskeln,Musculus sphincter urethrae externus,External urethral sphincter,,Pudendal nerve,Perineal artery,Pubic rami,Urethra,Urinary continence
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Scapular muscles,Svaly lopatky,Schulterblattmuskeln,Musculus deltoideus,Deltoid muscle,"Pars clavicularis, Pars acromialis, Pars spinalis",Axillary nerve (C5-C6),Posterior circumflex humeral artery,Lateral clavicle acromion and spine of scapula,Deltoid tuberosity of humerus,Abducts arm and assists flexion extension and rotation
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Scapular muscles,Svaly lopatky,Schulterblattmuskeln,Musculus supraspinatus,Supraspinatus muscle,,Suprascapular nerve,Suprascapular artery,Supraspinous fossa of scapula,Greater tubercle of humerus,Initiates abduction of arm
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Scapular muscles,Svaly lopatky,Schulterblattmuskeln,Musculus infraspinatus,Infraspinatus muscle,,Suprascapular nerve,Suprascapular artery,Infraspinous fossa of scapula,Greater tubercle of humerus,Laterally rotates arm
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Scapular muscles,Svaly lopatky,Schulterblattmuskeln,Musculus teres minor,Teres minor muscle,,Axillary nerve,Posterior circumflex humeral artery,Lateral border of scapula,Greater tubercle of humerus,Laterally rotates arm and stabilizes shoulder
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Scapular muscles,Svaly lopatky,Schulterblattmuskeln,Musculus teres major,Teres major muscle,,Lower subscapular nerve,Circumflex scapular artery,Inferior angle of scapula,Medial lip of intertubercular sulcus,Adducts medially rotates and extends arm
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Scapular muscles,Svaly lopatky,Schulterblattmuskeln,Musculus subscapularis,Subscapularis muscle,,Upper and lower subscapular nerves,Subscapular artery,Subscapular fossa,Lesser tubercle of humerus,Medially rotates arm and stabilizes shoulder
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Arm - anterior compartment,Predný svalový oddiel ramena,Vordere Oberarmmuskeln,Musculus biceps brachii,Biceps brachii muscle,"Caput longum, Caput breve",Musculocutaneous nerve (C5-C6),Brachial artery; anterior circumflex humeral artery,Coracoid process and supraglenoid tubercle of scapula,Radial tuberosity and bicipital aponeurosis,Flexes elbow and supinates forearm
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Arm - anterior compartment,Predný svalový oddiel ramena,Vordere Oberarmmuskeln,Musculus coracobrachialis,Coracobrachialis muscle,,Musculocutaneous nerve,Brachial artery,Coracoid process of scapula,Medial surface of humerus,Flexes and adducts arm
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Arm - anterior compartment,Predný svalový oddiel ramena,Vordere Oberarmmuskeln,Musculus brachialis,Brachialis muscle,,Musculocutaneous nerve; radial nerve (partial),Brachial artery,Anterior surface of humerus,Coronoid process and tuberosity of ulna,Primary flexor of elbow
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Arm - posterior compartment,Zadný svalový oddiel ramena,Hintere Oberarmmuskeln,Musculus triceps brachii,Triceps brachii muscle,"Caput longum, Caput laterale, Caput mediale",Radial nerve,Profunda brachii artery,Infraglenoid tubercle and posterior humerus,Olecranon of ulna,Extends elbow and assists arm extension
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,Arm - posterior compartment,Zadný svalový oddiel ramena,Hintere Oberarmmuskeln,Musculus anconeus,Anconeus muscle,,Radial nerve,Middle collateral artery,Lateral epicondyle of humerus,Olecranon and proximal ulna,Assists elbow extension and stabilizes joint
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, superficial layer","Predný svalový oddiel predlaktia - povrchová vrstva",Vordere Unterarmmuskeln (oberflächliche Schicht),Musculus pronator teres,Pronator teres muscle,"Caput humerale, Caput ulnare",Median nerve,Ulnar and radial arteries,Medial epicondyle of humerus and coronoid process of ulna,Lateral surface of radius,Pronates forearm and flexes elbow
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, superficial layer","Predný svalový oddiel predlaktia - povrchová vrstva",Vordere Unterarmmuskeln (oberflächliche Schicht),Musculus flexor carpi radialis,Flexor carpi radialis muscle,,Median nerve,Radial artery,Medial epicondyle of humerus,Bases of metacarpals II-III,Flexes and abducts wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, superficial layer","Predný svalový oddiel predlaktia - povrchová vrstva",Vordere Unterarmmuskeln (oberflächliche Schicht),Musculus palmaris longus,Palmaris longus muscle,,Median nerve,Ulnar artery,Medial epicondyle of humerus,Palmar aponeurosis,Flexes wrist and tenses palmar aponeurosis
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, superficial layer","Predný svalový oddiel predlaktia - povrchová vrstva",Vordere Unterarmmuskeln (oberflächliche Schicht),Musculus flexor carpi ulnaris,Flexor carpi ulnaris muscle,"Caput humerale, Caput ulnare",Ulnar nerve,Ulnar artery,Medial epicondyle of humerus and olecranon of ulna,Pisiform hamate and base of metacarpal V,Flexes and adducts wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, intermediate layer","Predný svalový oddiel predlaktia - stredná vrstva",Vordere Unterarmmuskeln (mittlere Schicht),Musculus flexor digitorum superficialis,Flexor digitorum superficialis muscle,,Median nerve,Ulnar artery and anterior interosseous artery,Medial epicondyle coronoid process and radius,Middle phalanges of digits II-V,Flexes fingers and wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, deep layer","Predný svalový oddiel predlaktia - hlboká vrstva",Vordere Unterarmmuskeln (tiefe Schicht),Musculus flexor digitorum profundus,Flexor digitorum profundus muscle,,Median nerve (anterior interosseous branch) and ulnar nerve,Anterior interosseous artery,Anterior surface of ulna and interosseous membrane,Distal phalanges of digits II-V,Flexes distal interphalangeal joints
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, deep layer","Predný svalový oddiel predlaktia - hlboká vrstva",Vordere Unterarmmuskeln (tiefe Schicht),Musculus flexor pollicis longus,Flexor pollicis longus muscle,,Median nerve (anterior interosseous branch),Anterior interosseous artery,Anterior surface of radius and interosseous membrane,Distal phalanx of thumb,Flexes thumb
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - anterior compartment, deep layer","Predný svalový oddiel predlaktia - hlboká vrstva",Vordere Unterarmmuskeln (tiefe Schicht),Musculus pronator quadratus,Pronator quadratus muscle,,Median nerve (anterior interosseous branch),Anterior interosseous artery,Distal anterior surface of ulna,Distal anterior surface of radius,Pronates forearm
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, superficial layer","Zadný svalový oddiel predlaktia - povrchová vrstva",Hintere Unterarmmuskeln (oberflächliche Schicht),Musculus brachioradialis,Brachioradialis muscle,,Radial nerve,Radial recurrent artery,Lateral supracondylar ridge of humerus,Styloid process of radius,Flexes elbow in mid-pronation
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, superficial layer","Zadný svalový oddiel predlaktia - povrchová vrstva",Hintere Unterarmmuskeln (oberflächliche Schicht),Musculus extensor carpi radialis longus,Extensor carpi radialis longus muscle,,Radial nerve,Radial artery,Lateral supracondylar ridge of humerus,Base of metacarpal II,Extends and abducts wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, superficial layer","Zadný svalový oddiel predlaktia - povrchová vrstva",Hintere Unterarmmuskeln (oberflächliche Schicht),Musculus extensor carpi radialis brevis,Extensor carpi radialis brevis muscle,,Deep branch of radial nerve,Radial artery,Lateral epicondyle of humerus,Base of metacarpal III,Extends and abducts wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, superficial layer","Zadný svalový oddiel predlaktia - povrchová vrstva",Hintere Unterarmmuskeln (oberflächliche Schicht),Musculus extensor digitorum,Extensor digitorum muscle,,Posterior interosseous nerve,Posterior interosseous artery,Lateral epicondyle of humerus,Middle and distal phalanges of digits II-V,Extends fingers and wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, superficial layer","Zadný svalový oddiel predlaktia - povrchová vrstva",Hintere Unterarmmuskeln (oberflächliche Schicht),Musculus extensor digiti minimi,Extensor digiti minimi muscle,,Posterior interosseous nerve,Posterior interosseous artery,Lateral epicondyle of humerus,Extensor expansion of digit V,Extends little finger
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, superficial layer","Zadný svalový oddiel predlaktia - povrchová vrstva",Hintere Unterarmmuskeln (oberflächliche Schicht),Musculus extensor carpi ulnaris,Extensor carpi ulnaris muscle,,Posterior interosseous nerve,Posterior interosseous artery,Lateral epicondyle of humerus,Base of metacarpal V,Extends and adducts wrist
Muscles of the Upper Limb,Svaly hornej končatiny,Muskulatur der oberen Extremität,"Forearm - posterior compartment, deep layer","Zadný svalový oddiel predlaktia - hlboká vrstva",Hintere Unterarmmuskeln (tiefe Schicht),Musculus supinator,Supinator muscle,,Posterior interosseous nerve,Radial recurrent artery,Lateral epicondyle of humerus and ulna,Proximal third of radius,Supinates forearm
