term_category,latin_translation,latin_gender,latin_declension,latin_genitive,latin_accusative,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,synonyms_en,synonyms_de,synonyms_sk,related_terms,notes,noun,adjective,verb,preposition,phrase
,Geriatria,f.,I,Geriatriae,Geriatriam,Geriatrics,Medicine for elderly,Geriatrie,Medizin für ältere Menschen,Geriatria,Liek pre starších,,,,,,1,0,0,0,0
,Glottis,,,Glottidis,Glottidem,Glottis,Vocal apparatus,Glottis,Gesangsapparat,Glottis,Vokálny prístroj,,,,,,0,1,0,0,0
,Glycogenes,f.,V,Glycogenesei,Glycogenesem,Glycogenesis,Formation of glycogen,Glykogenese,Bildung von Glykogen,Glykogenéza,Tvorba glykogénu,,,,,,1,0,0,0,0
,Gravida,f.,I,Gravidae,Gravidam,Pregnant woman,Pregnant woman,Schwangere Frau,Schwangere Frau,Tehotná žena,Tehotná žena,,,,,,1,0,0,0,0
,Graviditas,f.,III,Graviditatis,Graviditatem,Pregnancy,State of carrying fetus,Schwangerschaft,Zustand des Fötus,Tehotenstvo,Stav prenášania plodu,,,,,,1,0,0,0,0
,Hallux,m.,III,Hallucis,Hallucem,Big toe,First toe,Große Zehe,Erster Zeh,Veľký prst,Prvé prvé miesto,,,,,,1,0,0,0,0
,Hipporaticus,,,Hipporatici,Hipporaticum,Hippocratic,Relating to Hippocrates,Hippokratisch,In Bezug auf Hippokrates,Hippokratický,Týkajúce sa hippokratov,,,,,,0,1,0,0,0
,Humidus,m.,II,Humidi,Humidum,Humid,Containing moisture,Feucht,Feuchtigkeit enthalten,Vlhký,Obsahujúca vlhkosť,,,,,,1,0,0,0,0
,Hydrocystis,,,Hydrocystis,Hydrocystem,Hydrocyst,Water-filled cyst,Hydrocyste,Wasser gefüllte Zyste,Uhľovodík,Naplnená cysta,,,,,,0,1,0,0,0
,Hydrothorax,m.,III,Hydrothoracis,Hydrothoracem,Hydrothorax,Fluid in pleural cavity,Hydrothorax,Flüssigkeit in der Pleurahohlheit,Hydrotorax,Tekutina v pleurálnej dutine,,,,,,1,0,0,0,0
,Hypaesthesia,f.,I,Hypaesthesiae,Hypaesthesiam,Hypoesthesia,Reduced sensitivity,Hypoästhesie,Reduzierte Empfindlichkeit,Hypoestézia,Znížená citlivosť,,,,,,1,0,0,0,0
,Hyperaesthesia,f.,I,Hyperaesthesiae,Hyperaesthesiam,Hyperesthesia,Increased sensitivity,Hyperästhesie,Erhöhte Empfindlichkeit,Hyperestézia,Zvýšená citlivosť,,,,,,1,0,0,0,0
,Hypertensio,f.,III,Hypertensionis,Hypertensionem,Hypertension,High blood pressure,Hypertonie,Bluthochdruck,Hypertenzia,Vysoký krvný tlak,,,,,,1,0,0,0,0
,Hypertonicus,m.,II,Hypertonici,Hypertonicum,Hypertonic,Having high tension,Hypertonisch,Hohe Spannung haben,Hypertonický,Mať vysoké napätie,,,,,,1,0,0,0,0
,Hypglossus,m.,II,Hypglossi,Hypglossum,Hypoglossal,Under the tongue,Hypoglossal,Unter der Zunge,Hypoglossálny,Pod jazykom,,,,,,1,0,0,0,0
,Hypotonicus,m.,II,Hypotonici,Hypotonicum,Hypotonic,Having low tension,Hypoton,Mit geringer Spannung,Hypotonický,Mať nízke napätie,,,,,,1,0,0,0,0
,Immaturus,m.,II,Immaturi,Immaturum,Immature,Not fully developed,Unreif,Nicht voll entwickelt,Nezrelý,Nie úplne rozvinutý,,,,,,1,0,0,0,0
,Impar,m..,III,Imparis,Imparem,Unequal,Not paired,Ungleich,Nicht gepaart,Nerovnaký,Nie spárovaný,,,,,,1,0,0,0,0
,Imus,m.,II,Imi,Imum,Lowest,Lowest part,Niedrigste,Niedrigster Teil,Najnižší,Najnižšia časť,,,,,,1,0,0,0,0
,In (Acc. and Abl.),,,,,In,,In,,V,,,,,,,0,0,0,1,0
,Incisio,f.,III,Incisionis,Incisionem,Incision,Surgical cut,Einschnitt,Chirurgischer Schnitt,Rozrezanie,Chirurgický výrez,,,,,,1,0,0,0,0
,Infraclavicularis,,,Infraclavicularis,Infraclavicularem,Infraclavicular,Below the clavicle,Infraclavikulär,Unter dem Schlüsselbein,Infraclavikulárny,Pod kľúčnou kosťou,,,,,,0,1,0,0,0
,Incisura,f.,I,Incisurae,Incisuram,Notch,Indentation or groove,Kerbe,Eindrückung oder Groove,Zárez,Zarážanie,,,,,,1,0,0,0,0
,Incompletus,m.,II,Incompleti,Incompletum,Incomplete,Not fully formed,Unvollständig,Nicht vollständig gebildet,Neúplný,Nie úplne formované,,,,,,1,0,0,0,0
,Index,m.,III,Indicis,Indicem,Index,Pointer or first finger,Index,Zeiger oder ersten Finger,Index,Ukazovateľ alebo prvý prst,,,,,,1,0,0,0,0
,Induratus,m.,II,Indurati,Induratum,Hardened,Becoming firm,Gehärtet,Fest werden,Tvrdý,Stály,,,,,,1,0,0,0,0
,Infans,,III,Infantis,Infantem,Infant,Young child,Säugling,Kleinkind,Dieťa,Malé dieťa,,,,,,0,0,1,0,0
,Inferior,,,Inferioris,Inferiorem,Lower,Located below or lower in position,Untere,Befindet sich unten oder niedriger in Position,Znížiť,Umiestnené pod alebo nižšou polohou,,,,,,0,1,0,0,0
,Infracostalis,,,Infracostalis,Infracostalem,Infracostal,Below the ribs,Infrasprakostal,Unter den Rippen,Infracostaálny,Pod rebrá,,,,,,0,1,0,0,0
,Infraorbitalis,,,Infraorbitalis,Infraorbitalem,Infraorbital,Below the orbit,Infraorbital,Unter der Umlaufbahn,Infraorbitálny,Pod obežnou dráhou,,,,,,0,1,0,0,0
,Inoperabilis,,,Inoperabilis,Inoperabilem,Inoperable,Cannot be operated,Inoperabel,Kann nicht betrieben werden,Neuveriteľný,Nemožno prevádzkovať,,,,,,0,1,0,0,0
,Intercostalis,,,Intercostalis,Intercostalem,Intercostal,Between the ribs,Interkostal,Zwischen den Rippen,Medzikostál,Medzi rebrámi,,,,,,0,1,0,0,0
,Interior,,,Interioris,Interiorem,Inner,Situated inside,Innere,Im Inneren gelegen,Vnútorný,Nachádza sa vo vnútri,,,,,,0,1,0,0,0
,Interlobaris,,,Interlobaris,Interlobarem,Interlobar,Between lobes,Zwischenspeise,Zwischen Lappen,Medzipristátie,Medzi lalokmi,,,,,,0,1,0,0,0
,Interlobularis,,,Interlobularis,Interlobularem,Interlobular,Between lobules,Interlobular,Zwischen Läppchen,Interlobulárny,Medzi lobulami,,,,,,0,1,0,0,0
,Internus,m.,II,Interni,Internum,Internal,Inside,Intern,Innen,Vnútorný,Vo vnútri,,,,,,1,0,0,0,0
,Intimus,m.,II,Intimi,Intimum,Innermost,Deepest layer,Innerste,Tiefste Schicht,Najvzdialenejší,Najhlbšia vrstva,,,,,,1,0,0,0,0
,Intracellularis,,,Intracellularis,Intracellularem,Intracellular,Inside a cell,Intrazellulär,In einer Zelle,Intracelulárny,Vo vnútri bunky,,,,,,0,1,0,0,0
,Irradiatio,f.,III,Irradiationis,Irradiationem,Irradiation,Radiation exposure,Bestrahlung,Strahlungsbelastung,Ožarovanie,Expozícia,,,,,,1,0,0,0,0
,Isthmus,m.,II,Isthmi,Isthmum,Isthmus,Narrow passage,Isthmus,Schmaler Durchgang,Isthmus,Úzky priechod,,,,,,1,0,0,0,0
,Labialis,,,Labialis,Labialem,Labial,Relating to the lips,Labial,In Bezug auf die Lippen,Laboratórny,Týkajúce sa pier,,,,,,0,1,0,0,0
,Lacer,m.,III,Laceris,Lacerem,Lacerated,Torn or wounded,Verletzt,Zerrissen oder verwundet,Brehový,Roztrhaný alebo zranený,,,,,,1,0,0,0,0
,Lacrimalis,,,Lacrimalis,Lacrimalem,Lacrimal,Relating to tears,Tränen,In Bezug auf Tränen,Slzný,Týkajúce sa sĺz,,,,,,0,1,0,0,0
,Laesio,f.,III,Laesionis,Laesionem,Lesion,Tissue damage,Läsion,Gewebeschaden,Lézia,Poškodenie tkaniva,,,,,,1,0,0,0,0
,Leasus,m.,II,Leasi,Leasum,Leasus,Injured,Leasus,Verletzt,Vodítko,Zranený,,,,,,1,0,0,0,0
,Lagoena,f.,I,Lagoenae,Lagoenam,Lagoena,Bottle,Lagoena,Flasche,Lagoena,Fľaša,,,,,,1,0,0,0,0
,Lambdoideus,m.,II,Lambdoidei,Lambdoideum,Lambdoid,Shaped like the Greek letter lambda,Lambdoid,Form wie der griechische Buchstaben Lambda,Jahňací,V tvare gréckeho listu lambda,,,,,,1,0,0,0,0
,Lamina,f.,I,Laminae,Laminam,Lamina,Thin plate or layer,Lamina,Dünne Platte oder Schicht,Lamina,Tenká doska alebo vrstva,,,,,,1,0,0,0,0
,Letalis,,,Letalis,Letalem,Lethal,Deadly,Tödlich,Tödlich,Smrteľný,Smrtiaci,,,,,,0,1,0,0,0
,Leucocytus,m.,II,Leucocyti,Leucocytum,Leukocyte,White blood cell,Leukozyte,Weiße Blutkörperchen,Leukocyt,Biela krvinka,,,,,,1,0,0,0,0
,Lex,f.,III,Legis,Legem,Law,System of rules,Gesetz,Regierungssystem,Zákon,Systém pravidiel,,,,,,1,0,0,0,0
,Lege artis,,-,-,-,Lege artis,,Lege Artis,,Lege,,,,,,,0,0,0,0,1
,Lingualis,,,Lingualis,Lingualem,Lingual,Related to the tongue,Lingual,Im Zusammenhang mit der Zunge,Jazykový,Súvisiace s jazykom,,,,,,0,1,0,0,0
,Lingularis,,,Lingularis,Lingularem,Lingular,Relating to the lingula,Lingular,In Bezug auf die Lingula,Včerajší,Týkajúce sa linguly,,,,,,0,1,0,0,0
,Lobus,m.,II,Lobi,Lobum,Lobe,Well-defined anatomical division,Lappen,Gut definierte anatomische Teilung,Lalok,Dobre definované anatomické rozdelenie,,,,,,1,0,0,0,0
,Longitudinalis,,,Longitudinalis,Longitudinalem,Longitudinal,Relating to length,Längsschnitt,In Bezug auf die Länge,Pozdĺžny,Týkajúce sa dĺžky,,,,,,0,1,0,0,0
,Longitudo,f.,III,Longitudinis,Longitudinem,Length,The measure of something from end to end,Länge,Das Maß von etwas von Ende zu Ende,Dĺžka,Miera niečoho od konca do konca,,,,,,1,0,0,0,0
,Longus,m.,II,Longi,Longum,Long,Having great length,Lang,Große Länge haben,Dlhý,Mať veľkú dĺžku,,,,,,1,0,0,0,0
,Lumbalis,,,Lumbalis,Lumbalem,Lumbar,Relating to the lower back,Lendenwirbelsäule,Im Zusammenhang mit dem unteren Rücken,Bedrový,Týkajúce sa spodnej časti chrbta,,,,,,0,1,0,0,0
,Lumbus,m.,II,Lumbi,Lumbum,Lumbus,Lower back,Lumbus,Unterer Rücken,Lesklý,Spodná časť chrbta,,,,,,1,0,0,0,0
,Macroglossia,f.,I,Macroglossiae,Macroglossiam,Macroglossia,Abnormally large tongue,Makroglossie,Ungewöhnlich große Zunge,Makroglossia,Neobvykle veľký jazyk,,,,,,1,0,0,0,0
,Macrosomia,f.,I,Macrosomiae,Macrosomiam,Macrosomia,Abnormally large body size,Makrosomie,Ungewöhnlich große Körpergröße,Makrozómia,Neobvykle veľká veľkosť tela,,,,,,1,0,0,0,0
,Macrostomia,f.,I,Macrostomiae,Macrostomiam,Macrostomia,Abnormally large mouth opening,Makrostomie,Ungewöhnlich große Mundöffnung,Makrostómia,Abnormálne veľký otvor úst,,,,,,1,0,0,0,0
,Macrotia,f.,I,Macrotiae,Macrotiam,Macrotia,Abnormally large ears,Makrotie,Ungewöhnlich große Ohren,Makrotia,Neobvykle veľké uši,,,,,,1,0,0,0,0
,Magnus,m.,II,Magni,Magnus,Large,Of great size,Groß,Von großer Größe,Veľký,Veľkú veľkosť,,,,,,1,0,0,0,0
,Major,m.,III,Majoris,Majorem,Larger,Bigger in size,Größer,Größer in der Größe,Väčší,Väčšia veľkosť,,,,,,1,0,0,0,0
,Manus,m.,II,Mani,Manum,Hand,Part of the arm,Hand,Teil des Arms,Ručný,Časť ruky,,,,,,1,0,0,0,0
,Margo,m.,III,Margini,Marginem,Edge,Boundary or limit,Rand,Grenze oder Grenze,Okraj,Hranica alebo limit,,,,,,1,0,0,0,0
,Masculinus,,,Masculini,Masculinum,Masculine,Relating to men,Männlich,In Bezug auf Männer,Mužský,Týkajúce sa mužov,,,,,,0,1,0,0,0
,Massa,f.,I,Massae,Massam,Mass,Large quantity of matter,Masse,Große Menge an Materie,Masa,Veľké množstvo hmoty,,,,,,1,0,0,0,0
,Mater,f.,III,Materis,Mater,Mother,The female parent,Mutter,Der weibliche Elternteil,Matka,Rodička,,,,,,1,0,0,0,0
,Dura mater,,III,Dura materis,Dura materem,Dura mater,,Dura Mater,,Dura mater,,,,,,,0,0,0,0,1
,Pia mater,,III,Pia materis,Pia materem,Pia mater,,Pia Mater,,Pia mater,,,,,,,0,0,0,0,1
,Maxillaris,,,Maxillaris,Maxillarem,Maxillary,Relating to the maxilla,Oberkiefer,Im Zusammenhang mit dem Oberkiefer,Maxilárny,Týkajúce sa maxily,,,,,,0,1,0,0,0
,Maximus,m.,II,Maximi,Maximum,Maximum,The greatest degree,Maximal,Der größte Abschluss,Maximálny,Najväčší titul,,,,,,1,0,0,0,0
,Meatus,m.,II,Meati,Meatum,Meatus,Passage or channel,Meatus,Passage oder Kanal,Mäso,Priechod alebo kanál,,,,,,1,0,0,0,0
,Meatus acusticus,,II,Meatus acustici,Meatum acusticum,Audiory meatus,,Audiory Meatus,,Audiory mäso,,,,,,,0,0,0,0,1
,Medianus,m.,II,Mediani,Medianum,Median,Central line or position,Mittlere,Zentrallinie oder Position,Stredný,Centrálna čiara alebo poloha,,,,,,1,0,0,0,0
,Medicamentum,n.,II,Medicamenti,Medicamentum,Medication,Substance used for treatment,Medikamente,Substanz zur Behandlung verwendet,Liek,Látka používaná na liečbu,,,,,,1,0,0,0,0
,Medius,,,Medii,Medium,Middle,Located in the center,Mitte,Befindet sich in der Mitte,Stredný,Nachádza sa v strede,,,,,,0,1,0,0,0
,Melior,,,Melioris,Melior,Better,Superior in quality,Besser,Qualität überlegen,Lepší,Vynikajúca kvalita,,,,,,0,1,0,0,0
,Mellitus,m.,II,Melliti,Mellitum,Sweet,Often used for diabetes mellitus,Süß,Oft für Diabetes mellitus verwendet,Sladký,Často sa používa na diabetes mellitus,,,,,,1,0,0,0,0
,Diabetes mellitus,,II,Diabetes melliti,Diabetem mellitus,Diabetes mellitus,,Diabetes mellitus,,Diabetes mellitus,,,,,,,0,0,0,0,1
,Membrana,f.,I,Membranae,Membranam,Membrane,Thin layer of tissue,Membran,Dünne Gewebeschicht,Membrána,Tenká vrstva tkaniva,,,,,,1,0,0,0,0
,Membrum,n.,II,Membri,Membrum,Limb,Extremity of the body,Glied,Extremität des Körpers,Končatina,Končatina,,,,,,1,0,0,0,0
,Mentha,f.,I,Menthae,Mentham,Mint,Aromatic plant used in food,Minze,"Aromatische Pflanze, die in Lebensmitteln verwendet wird",Mincovňa,Aromatická rastlina používaná v potravinách,,,,,,1,0,0,0,0
,Methodus,m.,II,Methodi,Methodum,Method,System of procedures,Verfahren,Verfahrenssystem,Metóda,Systém postupov,,,,,,1,0,0,0,0
,Microglossia,f.,I,Microglossiae,Microglossiām,Microglossia,Abnormally small tongue,Mikroglossie,Ungewöhnlich kleine Zunge,Mikroglossia,Neobvykle malý jazyk,,,,,,1,0,0,0,0
,Micronodularis,,,Micronodularis,Micronodularem,Micronodular,Having small nodules,Mikronodular,Kleine Knötchen haben,Mikronodulárny,Mať malé uzliny,,,,,,0,1,0,0,0
,Migrans,,III,Migrantis,Migranem,Migration,Moving from one place to another,Migration,Von einem Ort zum anderen bewegen,Migrácia,Prejdite sa z jedného miesta na druhé,,,,,,0,0,1,0,0
,Minor,m.,III,Minoris,Minorem,Minor,Smaller or lesser,Unerheblich,Kleiner oder weniger,Menší,Menšie alebo menšie,,,,,,1,0,0,0,0
,Mollis,,,Mollis,Mollem,Soft,Having a smooth texture,Weich,Eine glatte Textur haben,Mäkký,Mať hladkú textúru,,,,,,0,1,0,0,0
,Monocularis,,,Monocularis,Monocularem,Monocular,Relating to one eye,Monokular,In Bezug auf ein Auge,Monokulárny,Týkajúce sa jedného oka,,,,,,0,1,0,0,0
,Morbillosus,m.,II,Morbillosi,Morbillosum,Measles-like,Resembling measles,Masernartig,Masern ähneln,Podobný osýpkam,Pripomínajúci osýpky,,,,,,1,0,0,0,0
,Mors,f.,III,Mortis,Mortem,Death,End of life,Tod,Lebensende,Úmrtnosť,Koniec života,,,,,,1,0,0,0,0
,Mors in tabula,,I,Mors in tabulae,Mors in tabulam,Death on the table,,Tod auf dem Tisch,,Smrť na stole,,,,,,,0,0,0,0,1
,Multi,3rd,Many,Multi,m./f.,Large number,viele,Große Anzahl,viele,Veľké množstvo,vele,,,,,,1,0,0,0,0
,Multifocalis,,,Multifocalis,Multifocalem,Multifocal,Having multiple focal points,Multifokal,Mehrere Brennpunkte haben,Multifokálny,Mať viac ohniskových bodov,,,,,,0,1,0,0,0
,Multiformis,,,Multiformis,Multiformem,Multiform,Having many forms,Multiform,Viele Formen haben,Multiforma,Mať veľa foriem,,,,,,0,1,0,0,0
,Multipara (feminine),,I,Multiparae,Multiparam,Multipara,,Multipara,,Viacnásobná,,,,,,,0,0,0,0,1
,Multiplex,m.,III,Multiplicis,Multiplicem,Multiple,Consisting of several,Mehrere,Bestehend aus mehreren,Viacnásobný,Pozostávajúce z niekoľkých,,,,,,1,0,0,0,0
,Nasalis,,,Nasalis,Nasalem,Nasal,Relating to the nose,Nasal,In Bezug auf die Nase,Nosný,Týkajúce sa nosa,,,,,,0,1,0,0,0
,Nasofrontalis,,,Nasofrontalis,Nasofrontalem,Nasofrontal,Relating to both nose and forehead,Nasofrontal,In Bezug auf Nase und Stirn,Nosa,Týkajúce sa nosa aj na čelo,,,,,,0,1,0,0,0
,Neonatus,m.,II,Neonati,Neonatum,Neonate,Newborn baby,Neugeborene,Neugeborenes Baby,Novorodenec,Novorodenec,,,,,,1,0,0,0,0
,Neoplasma,f.,I,Neoplasmae,Neoplasmam,Neoplasm,Abnormal growth of cells,Neoplasma,Abnormales Wachstum von Zellen,Novorodenec,Abnormálny rast buniek,,,,,,1,0,0,0,0
,Neurologia,f.,I,Neurologiae,Neurologiam,Neurology,Study of the nervous system,Neurologie,Untersuchung des Nervensystems,Neurológia,Štúdium nervového systému,,,,,,1,0,0,0,0
,Niger,m.,II,Nigri,Nigrum,Black,Dark color,Schwarz,Dunkle Farbe,Čierny,Tmavá farba,,,,,,1,0,0,0,0
,Nodus,m.,II,Nodi,Nodum,Knot,Swelling or lump,Knoten,Schwellung oder Klumpen,Uzol,Opuch,,,,,,1,0,0,0,0
,Nonus,m.,II,Noni,Nonum,Ninth,Position nine,Neunte,Position neun,Deviaty,Pozícia deväť,,,,,,1,0,0,0,0
,Nucleus,m.,II,Nuclei,Nucleum,Nucleus,Center of a cell,Kern,Zentrum einer Zelle,Jadro,Stred cely,,,,,,1,0,0,0,0
,Numerus,m.,II,Numeri,Numerum,Number,Mathematical value,Nummer,Mathematischer Wert,Počet,Matematická hodnota,,,,,,1,0,0,0,0
,Nutricius,,,Nutricii,Nutricium,Nutritive,Relating to nourishment,Nährstoff,In Bezug auf Nahrung,Výživný,Týkajúce sa výživy,,,,,,0,1,0,0,0
,Obesitas,f.,III,Obesitasis,Obesitatem,Obesity,Excess body fat,Fettleibigkeit,Überschüssiges Körperfett,Obezita,Prebytočný telesný tuk,,,,,,1,0,0,0,0
,Occipitalis,,,Occipitalis,Occipitalem,Occipital,Relating to the back of the head,Okzipital,In Bezug auf den Hinterkopf,Týlne,Týkajúce sa zadnej časti hlavy,,,,,,0,1,0,0,0
,Oculomotorius,,,Oculomotoriae,Oculomotoriium,Oculomotor,Relating to eye movement,Okulomotor,In Bezug auf die Augenbewegung,Okulomotor,Týkajúce sa pohybu očí,,,,,,0,1,0,0,0
,Oculus,m.,II,Oculi,Ocum,Eye,Organ for vision,Auge,Organ für Vision,Prezerať,Orgán pre videnie,,,,,,1,0,0,0,0
,Oleum,n.,II,Olei,Oleum,Oil,Viscous liquid from plants or animals,Öl,Viskose Flüssigkeit aus Pflanzen oder Tieren,Olej,Viskózna tekutina z rastlín alebo zvierat,,,,,,1,0,0,0,0
,Omnis,,,Omnis,Omne,All,Including every part,Alle,Einschließlich jedes Teils,Všetko,Vrátane každej časti,,,,,,0,1,0,0,0
,Orbita,f.,I,Orbitae,Orbitam,Orbit,The bony cavity that houses the eye,Orbit,"Die knöcherne Hohlraum, die das Auge beherbergt",Obežná dráha,"Kostnatá dutina, v ktorej sa nachádza oko",,,,,,1,0,0,0,0
,Originalis,,,Originalis,Originalem,Original,Existing from the beginning,Original,Von Anfang an existieren,Pôvodný,Existujúce od začiatku,,,,,,0,1,0,0,0
,Palatinus,,,Palatini,Palatinum,Palatine,Relating to the roof of the mouth,Palatin,Im Zusammenhang mit dem Dach des Mundes,Palatín,Týkajúce sa strechy úst,,,,,,0,1,0,0,0
,Palatum,n.,II,Palati,Palatum,Palate,The roof of the mouth,Gaumen,Das Dach des Mundes,Podnebie,Strecha úst,,,,,,1,0,0,0,0
,Palmaris,,,Palmaris,Palmarem,Palmar,Relating to the palm of the hand,Palmar,In Bezug auf die Handfläche,Dlaňový,Týkajúce sa dlane ruky,,,,,,0,1,0,0,0
,Paraesthesia,f.,I,Paraesthesiae,Paraesthesiam,Paraesthesia,Abnormal sensation like tingling,Parästhesie,Abnormales Gefühl wie Kribbeln,Parestézia,Abnormálny pocit ako brnenie,,,,,,1,0,0,0,0
,Paranasalis,,,Paranasalis,Paranasalem,Paranasal,Located near the nose,Paranasal,Befindet sich in der Nähe der Nase,Paranazálny,Nachádza sa blízko nosa,,,,,,0,1,0,0,0
,Parasympathicus,m.,II,Parasympathici,Parasympathicum,Parasympathetic,Part of the autonomic nervous system,Parasympathisch,Teil des autonomen Nervensystems,Parasympatický,Súčasť autonómneho nervového systému,,,,,,1,0,0,0,0
,Parietalis,,,Parietalis,Parietalem,Parietal,Relating to the walls of a cavity,Parietal,In Bezug auf die Wände eines Hohlraums,Parietálny,Týkajúce sa stien dutiny,,,,,,0,1,0,0,0
,Partialis,,,Partialis,Partialem,Partial,Incomplete or limited in extent,Teilweise,Unvollständig oder begrenzt in Umfang,Čiastočný,Neúplný alebo obmedzený,,,,,,0,1,0,0,0
,Parvus,m.,II,Parvi,Parvum,Small,Of little size,Klein,Von wenig Größe,Malý,Malá veľkosť,,,,,,1,0,0,0,0
,Pejor,m.,III,Pejoris,Pejorem,Worse,Of lower quality,Schlechter,Von geringerer Qualität,Horší,Nižšia kvalita,,,,,,1,0,0,0,0
,Peracutus,m.,II,Peracuti,Peracutum,Peracute,Extremely acute,Peracute,Extrem akut,Kladko,Mimoriadne akútny,,,,,,1,0,0,0,0
,Perforans,,III,Perforantis,Perforantem,Perforating,Having a hole through it,Perforieren,Ein Loch durch dabei haben,Perforujúci,Mať cez ňu dieru,,,,,,0,0,1,0,0
,Perforatus,m.,II,Perforati,Perforatum,Perforated,Holding a hole,Perforiert,Ein Loch halten,Perforovaný,Držať diel,,,,,,1,0,0,0,0
,Perianalis,,,Perianalis,Perianalem,Perianal,Relating to around the anus,Perianal,In Bezug auf den Anus um den Anus,Periánsky,Týkajúce sa konečníka,,,,,,0,1,0,0,0
,Perinatalis,,,Perinatalis,Perinatalem,Perinatal,Relating to the time around birth,Perinatal,In Bezug auf die Zeit um die Geburt,Perinatálny,Týkajúce sa času okolo narodenia,,,,,,0,1,0,0,0
,Peritonealis,,,Peritonealis,Peritonealem,Peritoneal,Relating to the peritoneum,Peritoneal,In Bezug auf das Peritoneum,Peritoneálny,Týkajúce sa peritonea,,,,,,0,1,0,0,0
,Pes,f.,V,Pesei,Pes,Foot,Lower extremity of the body,Fuß,Untere Extremität des Körpers,Noha,Dolná končatina tela,,,,,,1,0,0,0,0
,Pessimus,m.,II,Pessimi,Pessimum,Worst,Of the lowest quality,Am schlimmsten,Von der niedrigsten Qualität,Najhorší,Najnižšej kvality,,,,,,1,0,0,0,0
,Pilula,f.,I,Pilulae,Pilulam,Pill,Small round medication,Pille,Kleine runde Medikamente,Tabletka,Malé okrúhle lieky,,,,,,1,0,0,0,0
,Pius,,,Pii,Piumm,Pious,Religious and devout,Fromm,Religiös und frommen,Zbožný,Náboženský a oddaný,,,,,,0,1,0,0,0
,Plantaris,,,Plantaris,Plantarum,Plantar,Relating to the sole of the foot,Plantar,In Bezug auf die Fußsohle,Plantár,Týkajúce sa podrážky chodidla,,,,,,0,1,0,0,0
,Planus,m.,II,Plani,Planum,Flat,Level surface,Wohnung,Ebene Oberfläche,Plochý,Povrchová plocha,,,,,,1,0,0,0,0
,Plures,f.,V,Pluresei,Plures,More,Greater number,Mehr,Größere Anzahl,Viac,Väčšie číslo,,,,,,1,0,0,0,0
,Plurimi,m.,II,Plurimorum,Plurimos,Many,Large number,Viele,Große Anzahl,Veľa,Veľké množstvo,,,,,,1,0,0,0,0
,Pneumothorax,m.,II,Pneumothoracis,Pneumothoracem,Pneumothorax,Air in the pleural cavity,Pneumothorax,Luft in der Pleurahohlheit,Pneumotorax,Vzduch v pleurálnej dutine,,,,,,1,0,0,0,0
,Pollex,m.,III,Pollicis,Pollicem,Thumb,First digit of the hand,Daumen,Erste Ziffer der Hand,Palec,Prvá číslica ruky,,,,,,1,0,0,0,0
,Post (Acc.),,,,,Happening after (used in status post),,Passiert nach (in Status Post verwendet),,Deje sa po (použití sa v stave stavu),,,,,,,0,0,0,0,1
,Postnatalis,,,Postnatalis,Postnatalem,Postnatal,After birth,Postnatal,Nach der Geburt,Postnatálny,Po narodení,,,,,,0,1,0,0,0
,Posttraumaticus,m.,II,Posttraumatici,Posttraumaticum,Posttraumatic,Occurring after trauma,Posttraumatisch,Nach dem Trauma auftreten,Posttraumatický,Vyskytujúce sa po traume,,,,,,1,0,0,0,0
,Praematurus,m.,II,Praematuri,Praematurum,Premature,Before full development,Verfrüht,Vor voller Entwicklung,Predčasný,Pred úplným vývojom,,,,,,1,0,0,0,0
,Praemolaris,,,Praemolaris,Praemolarem,Premolar,Tooth before molars,Prämolar,Zahn vor Molaren,Premolárny,Zub pred stoličkami,,,,,,0,1,0,0,0
,Praenatalis,,,Praenatalis,Praenatalem,Prenatal,Before birth,Vorgeburtlich,Vor der Geburt,Prenatálny,Pred narodením,,,,,,0,1,0,0,0
,Primaries,f.,V,Primariesei,Primariem,Primary,First or main,Primär,Zuerst oder Haupt,Primárny,Prvé alebo hlavné,,,,,,1,0,0,0,0
,Primigravida (femina),,,,,First pregnancy,,Erste Schwangerschaft,,Prvé tehotenstvo,,,,,,,0,0,0,0,1
,Primipara (femina),,,,,First-time mother,,Erstmalige Mutter,,Prvá matka,,,,,,,0,0,0,0,1
,Primus,m.,II,Primi,Primun,First,First in position,Erste,Zuerst in Position,Prvé,Prvý v pozícii,,,,,,1,0,0,0,0
,Pro (Abl.),,,,,Indicating purpose,,Zweck anzeigen,,Individuálny účel,,,,,,,0,0,0,0,1
,Prolapsus,m.,II,Prolapses,Prolapsum,Prolapse,The slipping of an organ,Vorfall,Das Ausrutschen eines Organs,Prolaps,Skĺznutie orgánu,,,,,,1,0,0,0,0
,Prominens,,,Prominentis,Prominentem,Prominent,Standing out,Prominent,Auffallen,Prominentný,Vystupovať,,,,,,0,1,0,0,0
,Proprius,,,Proprii,Proprium,Proper,Specific to,Richtig,Spezifisch für,Správny,Špecifický,,,,,,0,1,0,0,0
,Proximus,m.,II,Proximi,Proximum,Nearest,Closest in position,Nächste,In Position am nächsten,Najbližší,Najbližšie na pozícii,,,,,,1,0,0,0,0
,Psychogenes,f.,V,Psychogenesei,Psychogenesim,Psychogenic,Originating from psychological causes,Psychogen,Ursprung aus psychologischen Ursachen,Psychogénny,Pochádzajúci z psychologických príčin,,,,,,1,0,0,0,0
